,Overall Score,Employment,Startup,Tourism,Housing,Transport,Health,Food,Internet Speed,Apple Store,Access to Contraception,Gender Equality,Immigration Tolerance,LGBT Friendly,Nightscene,Beer,Festival
Amsterdam,108.8,4,8.9,8.4,1.7,8,7,4.5,7.1,6.9,5.6,8,8,10,7.3,5.2,8.2
Berlin,103.9,2.3,7.1,8,5.9,7.5,5,7.1,7.5,5.2,2.6,9,6,9.1,10,7,4.6
Munich,102.7,9.4,9.2,6.3,3.4,9.5,5,5.8,3.8,7.4,2.6,9,6,9,7.6,6.6,2.1
Lisbon,102.6,1,7.6,7,7.6,8.3,7.4,8.8,2.8,4.3,4.2,5.8,7.3,7.3,6,8.9,8.3
Antwerp,101.1,6.2,4.4,2.7,7,7.8,5.5,2.7,8.3,8.4,7.2,6.5,6.6,6.1,8,6.1,7.6
Barcelona,101,0.6,6.9,8.6,6.5,7.1,8.3,6.7,6.6,7,2.2,6,7.6,9.2,6,7.5,4.2
Lyon,100.8,2.2,5.5,7.4,4.7,9.8,10,1.7,8,9.7,8.5,7.6,3,6.7,7.6,1.7,6.7
Cologne,100.8,6.6,4.8,0.9,6.6,8.8,5,7.3,3.7,8.2,2.6,9,6,8.8,9.8,6.3,6.4
Paris,100.7,1.7,8.5,9.7,1.9,9.7,10,1.4,7.4,8.1,8.5,7.6,3,7.7,10,1,4.5
Vancouver,100.5,6.3,9.5,7.3,1.6,7.9,4.3,3.2,4.2,9.1,8,5.4,9.3,9.4,1,4.5,9.6
Lille,100.1,1.1,7.5,4.6,6,9.2,10,5.2,5.3,9.9,8.5,7.6,3,3.7,7.6,2.2,8.7
Zurich,99.7,8.3,8.3,4.3,0.9,6.9,5.8,0.1,8.2,8.8,7,9.2,7,5.6,9,0.6,9.8
Valencia,99,0.4,3.2,6.6,9.3,4.5,8.3,8.3,8.6,7.2,2.2,6,7.6,7.4,8.5,8,2.9
The Hague,98.7,3.1,4.3,2.1,4.2,8.1,7,5.3,6.9,8.3,5.6,8,8,9.7,4,5,9.1
Montreal,98.5,3.4,7.7,4.4,6.9,5.7,4.3,3,4.3,5.6,8,5.4,9.3,8.7,9.5,4.3,8.1
London,97,5.4,8.4,9.9,1.1,6.7,6.5,6.5,3.4,5.5,9.5,7,5,8.2,9.8,2.1,2
Nantes,96.5,3,5.8,2.4,6.4,5.6,10,6.1,8.4,4.3,8.5,7.6,3,5.8,7.6,2.6,9.4
Rotterdam,96.5,3.2,5.1,1.2,7.4,9.4,7,7,5.9,4.3,5.6,8,8,5.5,6,5.1,7.8
Prague,96.2,8.8,5.9,8.8,8.2,9.1,1.9,9,9.5,4.3,4,1.8,2.2,1.3,9.8,9.2,2.4
Helsinki,96,4.2,7.3,5.7,3.1,9.6,4,4.2,6.7,4.3,7.6,10,9.8,8,3,1.1,7.4
Manchester,95.5,4.1,2.7,5.3,7.2,5.2,7,7.4,5.2,9.6,9.5,7,5,5.3,4,4.7,6.3
Bordeaux,94.7,1.9,6.1,5.2,5.4,7.7,10,2.4,3.5,9.8,8.5,7.6,3,5.7,8.5,2.5,6.9
Auckland,94.5,7.1,7.8,6,2.9,7.2,2.5,3.9,7,4.3,4.8,9.3,9.5,9.5,3,2,7.7
Toronto,93.1,3.7,8.8,6.7,2.8,5.1,4.3,5.7,6.1,7.6,8,5.4,9.3,8.1,1,3.8,6.8
Bristol,92.5,5.8,5.3,0.2,5.6,0.3,6.5,6.6,5.7,9.4,9.5,7,5,8.4,7,4,6.2
Oslo,92.5,9.5,6.2,6.8,2.3,10,7.6,0.7,9.3,4.3,5.3,9.8,8.3,6,1,0.1,5.4
Marseille,91.8,1.5,2.8,5,6.2,4.6,10,5.6,9.6,6.8,8.5,7.6,3,6.2,6,2.4,6
Madrid,91.6,0.7,5.2,7.9,4.5,8.2,8.3,6.8,4.1,7.1,2.2,6,7.6,8.3,6,6.9,1.8
Vienna,91.6,4.7,3.8,8.3,4.9,8.7,8,4.1,8.7,4.3,4.4,2.8,6.4,3.4,6,5.8,7.3
Glasgow,90.8,2.8,4.2,4.5,8.1,3.4,6.5,7.2,5.4,9.2,9.5,7,5,4.5,1,4.6,7.9
Birmingham,90.5,2,3.1,2.9,7.8,1.7,6.5,8,5.8,6.4,9.5,7,5,7.6,6,6,5.2
Hamburg,90.4,8.1,4.1,1.8,4.8,5.8,5,4.3,7.6,6.7,2.6,9,6,2.9,9.3,6.5,5.9
Dublin,90.2,4.4,8.7,7.8,2.6,4.3,6,6.2,9,4.3,2,9.5,10,4.9,1,3,6.5
Montpellier,89.7,1.2,4.6,3.1,5.7,6.4,10,1.9,7.8,9.5,8.5,7.6,3,2.1,7.6,2.3,8.4
Utrecht,88.6,5.6,6,0.3,4.4,1,7,5.4,7.9,4.3,5.6,8,8,9.3,4,2.9,8.9
Ottawa,88.2,5,6.8,4.9,4.6,1.5,4.3,6.3,6.2,8.6,8,5.4,9.3,3.2,0.6,4.4,9.2
Frankfurt,87.5,7.9,4.5,6.9,4.1,7.3,5,3.6,0.3,7.3,2.6,9,6,7.9,6,5.9,3.2
Graz,87.3,7.8,0.2,0.6,6.7,4.9,8,4.6,7.7,4.3,4.4,2.8,6.4,4.2,9.3,6.4,9
Brussels,86.5,1.3,5.4,5.6,5.1,8.9,5.5,3.8,4.4,6.3,7.2,6.5,6.6,2.6,7.6,4.8,4.9
Porto,86.5,0.9,7,3.2,9,6.5,7.4,8.9,1.7,4.3,4.2,5.8,7.3,3.5,1,8.8,7
Austin,86.2,8.4,9.7,4.7,2,2.7,3,2.2,10,8.7,6,4,4,3.3,3,5.7,8.8
Groningen,85.6,2.7,1.1,0.1,5.8,0.1,7,6,9.4,4.3,5.6,8,8,8.9,4,5.3,9.3
Geneva,85.4,2.6,8,1.1,0.6,5.4,5.8,0.2,9.8,10,7,9.2,7,4.8,4,0.5,9.5
Edinburgh,84.5,7.7,5.6,2.8,4.3,2,6.5,5.9,6,8.5,9.5,7,5,4.6,1,3.7,4.4
San Francisco,84,6.7,10,7.5,0.1,9.9,3,0.3,1,9.3,6,4,4,9.8,3,1.4,8
Athens,83.6,0.2,6.5,5.4,9.7,8.5,7.2,7.7,6.8,4.3,0.8,1.2,1.8,3,8.8,6.2,5.5
Bangkok,82.7,10,0.9,10,7.1,3.5,2,6.4,3.1,4.3,9,2,0.7,6.4,6.5,8.6,2.2
Seville,82.5,0.1,1.5,7.2,8.7,3.2,8.3,8.4,1.5,4.3,2.2,6,7.6,5.2,7,7.9,3.4
Denver,82.1,7.3,9.3,3.8,1.8,5.5,3,1.6,9.7,7.7,6,4,4,6.9,0.6,5.6,5.3
Granada,82.1,0.3,0.3,5.5,9.4,2.2,8.3,8.1,1.9,4.3,2.2,6,7.6,2.3,7,8.1,8.6
Buenos Aires,81.8,2.9,0.6,3.5,8.3,3.7,0.8,7.5,2.1,4.3,5,5.6,6.8,9.9,8.3,8.2,4.3
Portland,81.7,5.9,9,3.9,1.3,6,3,1.8,8.9,8,6,4,4,7.1,3,4.2,5.6
Toulouse,81.2,2.1,3.7,4.1,6.1,8.6,10,2.6,5,4.3,8.5,7.6,3,6.3,7.6,1.6,0.1
Budapest,80.8,6,3.9,6.4,9.1,6.6,1.1,9.3,4.9,4.3,3.4,0.9,1.6,0.8,6,9.3,7.2
Bucharest,80.5,9.6,4,1,9.6,8.4,0.7,9.9,8.8,4.3,1.8,1.9,0.8,0.5,6,9.1,4.1
Brugge,80.3,9.7,0.5,2.6,5.3,0.2,5.5,4.4,9.9,4.3,7.2,6.5,6.6,1.9,0.3,5.4,10
Stockholm,80.3,4.5,6.4,3.6,2.5,7.6,4.8,1.3,5.1,5.7,1.3,9.6,8.8,9.6,4,0.8,4.8
Seattle,78.9,7.6,9.8,6.1,0.7,5.3,3,0.9,9.1,7.5,6,4,4,6.8,1,3.6,3.5
Copenhagen,78.8,4.9,8.1,2.5,1.4,4.8,3.3,3.3,7.3,4.3,2.4,7.3,8.5,5,8.8,0.9,6.1
Los Angeles,78.8,3.9,9.4,8.1,1,2.3,3,2.1,9.2,6.1,6,4,4,7.5,5,3.4,3.8
Cork,78.5,3.3,7.4,2.3,5.2,0.8,6,6.9,2.7,4.3,2,9.5,10,4.4,0.6,3.2,9.9
Kuala Lumpur,77.2,9.1,7.2,9.4,8.6,6.8,1.7,8.5,2.6,4.3,1.5,0.6,0.9,0.7,4,7.3,4
Innsbruck,77,9.3,1.7,1.3,5.5,3.1,8,4.8,6.4,4.3,4.4,2.8,6.4,2.2,3,6.7,7.1
New York City,76.6,5.3,9.1,9.5,0.2,6.1,3,0.6,6.5,6.2,6,4,4,5.1,7,1.3,2.7
Brno,76.2,5.1,0.1,0.5,9.2,7,1.9,9.1,8.5,4.3,4,1.8,2.2,1.7,6,9.7,5.1
Melbourne,74.8,6.1,5.7,5.1,2.1,4.1,3.8,3.4,4.7,4.3,3.6,3.6,9,6.6,8.3,1.2,3.3
Chicago,74.4,4.6,8.6,3.7,1.2,7.4,3,2.3,8.1,5.9,6,4,4,2.7,3.6,3.5,5.8
Philadelphia,73.2,5.7,7.9,6.2,2.4,5,3,1.5,7.2,5.8,6,4,4,5.4,0.6,5.5,3
Gothenburg,73,3.8,3.4,4,3.6,6.2,4.8,2.5,6.3,4.3,1.3,9.6,8.8,4.1,4,0.7,5.7
Monterrey,72.2,6.4,3.3,4.2,9.9,3.6,1.4,9.4,5.6,4.3,4.6,2.4,1,1.1,3,9.5,2.5
Medellin,72,1.6,2.6,0.4,9.8,2.5,5.3,10,1.1,4.3,3.8,5,2.4,1,9.8,9.9,2.6
Bergen,71.8,7.5,1.4,2,4,2.6,7.6,0.8,4.8,4.3,5.3,9.8,8.3,3.8,1,0.2,8.5
Sao Paulo,71.8,2.4,2.2,4.8,8,2.1,0.6,7.8,3.2,4.4,7.4,1.6,2.8,7,7.6,8.5,1.4
Guadalajara,71.6,7.2,3.6,5.8,10,3.3,1.4,9.6,0.1,4.3,4.6,2.4,1,2.8,4,9.6,1.9
Milan,71.4,3.5,6.3,8.7,3.7,9.3,9,2.9,2.4,7.8,1,3,3.3,0.2,4,2.7,3.6
Rio de Janeiro,70.8,6.9,1.2,1.6,6.8,3,0.6,7.6,1.2,4.9,7.4,1.6,2.8,7.8,8.8,7.7,0.9
Cape Town,70.7,0.5,8.2,1.7,7.3,0.5,0.1,8.7,0.5,4.3,4.2,8,3.8,1.8,3,8.4,9.7
Mexico City,70.3,5.2,2.5,5.9,8.8,3.9,1.4,9.5,4,4.6,4.6,2.4,1,3.1,3,9.4,1
Boston,70,7,9.9,3,0.3,9,3,1.2,3,7.9,6,4,4,5.9,0.6,1.5,3.7
Beijing,69.3,9.9,2.4,7.7,3.2,4.2,0.2,7.9,1.8,6,10,1,0.5,0.1,4,10,0.4
Taipei,68.4,8.7,3.5,9.2,5,6.3,0.4,1,2.3,4.3,7.8,1,0.4,3.9,3.3,9,2.3
Venice,67.9,1.8,1.8,8.2,7.9,1.8,9,5.1,2.9,4.3,1,3,3.3,4.3,3,3.9,6.6
Santiago,67.6,5.5,2.9,0.8,8.9,2.8,3.5,8.2,3.6,4.3,2.8,2.2,6.2,0.6,6,7.6,1.7
Warsaw,67.6,4.3,5,1.5,8.5,5.9,1.6,9.7,4.5,4.3,0.6,5.2,1.2,1.5,4,8.3,1.5
Bogota,67.4,2.5,2.1,1.4,9.5,0.4,5.3,9.8,0.2,4.3,3.8,5,2.4,1.4,8.8,9.8,0.8
Sydney,67.2,6.8,6.7,7.1,0.8,1.3,3.8,3.5,1.6,5,3.6,3.6,9,8.5,1,1.8,3.1
Canberra,65.7,8.9,0.4,1.9,2.2,0.6,3.8,4.7,3.3,8.9,3.6,3.6,9,4.7,1,4.1,5
Bologna,65.4,4.8,2.3,3.4,7.7,1.1,9,4.9,2.2,9,1,3,3.3,2.4,1,2.8,7.5
Rome,65,1.4,2,9.3,3.8,4.4,9,4,4.6,6.6,1,3,3.3,0.4,4.5,4.9,2.8
Brisbane,64.9,6.5,4.9,3.3,3,1.9,3.8,5,2,5.4,3.6,3.6,9,6.5,2,3.1,1.3
Tel Aviv,64.4,7.4,9.6,0.7,3.9,1.4,4.5,3.7,2.5,4.3,0.4,3.3,0.3,8.6,8.8,0.3,4.7
Seoul,62.6,8.6,1.6,9.1,2.7,4.7,1.5,0.4,5.5,4.3,3,0.3,2.6,3.6,6,7.1,1.6
Singapore,62.6,9.8,6.6,9.8,0.5,4,8.6,3.1,0.6,4.3,1,2.6,3.5,1.2,4,1.9,1.1
Perth,62.5,8,3,2.2,3.3,0.7,3.8,2.8,3.9,6.5,3.6,3.6,9,7.2,0.6,0.4,3.9
Hong Kong,57.7,9.2,4.7,8.9,0.4,2.9,0.2,2,0.7,4.7,10,1,0.5,4,4,3.3,1.2
Shanghai,57.6,8.2,0.8,8.5,3.5,3.8,0.2,5.5,0.4,5.3,10,1,0.5,0.9,1,7.8,0.2
Osaka,56.9,8.5,0.7,6.5,6.3,0.9,7.8,1.1,1.3,4.5,0.9,0.5,2,2,6,7.2,0.7
Tokyo,55.3,9,1.3,9,1.5,2.4,7.8,0.5,1.4,5.1,0.9,0.5,2,2.5,4,6.8,0.6
Istanbul,54.9,0.8,1.9,9.6,8.4,1.6,1,9.2,0.8,4.8,0.5,0.2,0.6,1.6,6,7.4,0.5
Lima,52,3.6,1,7.6,7.5,1.2,0.5,8.6,0.9,4.3,0.7,1.4,1.4,0.3,4,8.7,0.3
